BTC,Bitcoin
MOBILE,Helium Mobile
MEME,Memecoin
JST,JUST
TRB,Tellor
ID,SPACE ID
BAND,Band Protocol
stETH,Lido Staked ETH
WTRX,Wrapped TRON
WBTC,Wrapped Bitcoin
WHBAR,Wrapped HBAR
TAO,Bittensor
BTCB,Bitcoin BEP2
WBETH,Wrapped Beacon ETH
RETH,Rocket Pool ETH
HEX,HEX
CHEEL,Cheelee
vBNB,Venus BNB
WBNB,Wrapped BNB
MSOL,Marinade Staked SOL
FRAX,Frax
cbETH,Coinbase Wrapped Staked ETH
RLB,Rollbit Coin
FTN,Fasttoken
KUJI,Kujira
USDe,Ethena USDe
STRD,Stride
WKAVA,Wrapped Kava
LSD,L7
ORBR,Orbler
AZERO,Aleph Zero
POKT,Pocket Network
ERC20,ERC20
PAAL,PAAL AI
AUDIO,Audius
MX,MX TOKEN
CTSI,Cartesi
T,Threshold
WAVES,Waves
C98,Coin98
YFI,yearn.finance
ALPH,Alephium
BDX,Beldex
RLC,iExec RLC
BAL,Balancer
OAS,Oasys
JTO,Jito
ARKM,Arkham
ICX,ICON
BICO,Biconomy
RAY,Raydium
FNSA,FINSCHIA
EDU,Open Campus
ACE,Fusionist
ONT,Ontology
MAVIA,Heroes of Mavia
ADF,Art de Finance
SXP,Solar
BTRST,Braintrust
ORCA,Orca
SFUND,Seedify.fund
LYX,LUKSO
vBTC,Venus BTC
AI,Sleepless AI
USDP,Pax Dollar
WAXP,WAX
DGB,DigiByte
ALEX,ALEX Lab
IOST,IOST
WE,WeBuy
PROM,Prom
JOE,JOE
BORG,SwissBorg
RIF,Rootstock Infrastructure Framework
AMP,Amp
TRUMP,MAGA
NMR,Numeraire
CELR,Celer Network
MOVR,Moonriver
XVS,Venus
AGRS,Agoras: Currency of Tau
ACH,Alchemy Pay
LCX,LCX
GNS,Gains Network
CQT,Covalent
HBTC,Huobi BTC
ABT,Arcblock
GF,GuildFi
PANDORA,Pandora
NFP,NFPrompt
FLEX,FLEX
AUCTION,Bounce Token
POWR,Powerledger
HT,Huobi Token
MYRIA,Myria
PYR,Vulcan Forged (PYR)
STRAX,Stratis
BIGTIME,Big Time
CTC,Creditcoin
0x0,0x0.ai
LSK,Lisk
CYBER,CyberConnect
TRIBE,Tribe
POND,Marlin
HIVE,Hive
MAV,Maverick Protocol
OM,MANTRA
USDJ,USDJ
RDNT,Radiant Capital
TLOS,Telos
BabyDoge,Baby Doge Coin
POLY,Polymath
YGG,Yield Guild Games
SNT,Status
AGI,Delysium
RSR,Reserve Rights
NOIA,Syntropy
SLP,Smooth Love Potion
BORA,BORA
TET,Tectum
POLYX,Polymesh
NAKA,Nakamoto Games
BLZ,Bluzelle
ARK,Ark
HONEY,Hivemapper
GMT,Gomining
TEL,Telcoin
XNO,Nano
ALI,Artificial Liquid Intelligence
ZEN,Horizen
VVS,VVS Finance
PEOPLE,ConstitutionDAO
GUSD,Gemini Dollar
LUSD,Liquity USD
CUDOS,CUDOS
NYM,NYM
LQTY,Liquity
DEXE,DeXe
DAO,DAO Maker
CGPT,ChainGPT
DENT,Dent
HFT,Hashflow
XYM,Symbol
RBTC,Rootstock Smart Bitcoin
SURE,inSure DeFi
SCRT,Secret
KEEP,Keep Network
BFIC,Blockchain Foundation for Innovation & Collaboration
IQ,IQ
TRIAS,Trias Token (New)
HOOK,Hooked Protocol
BONE,Bone ShibaSwap
APEX,ApeX Protocol
ORAI,Oraichain
EURS,STASIS EURO
STG,Stargate Finance
GOG,Guild of Guardians
CTXC,Cortex
SYN,Synapse
vETH,Venus ETH
PORK,PepeFork
ONG,Ontology Gas
RSS3,RSS3
DUSK,Dusk
DKA,dKargo
ERG,Ergo
ATOR,ATOR Protocol
ZIG,Zignaly
LOOM,Loom Network
OXT,Orchid
ORBS,Orbs
DODO,DODO
BAKE,BakeryToken
KNC,Kyber Network Crystal v2
GAFI,GameFi.org
PUNDIX,Pundi X (New)
WIN,WINkLink
SYS,Syscoin
ALPHA,Stella
AURORA,Aurora
MLK,MiL.k
STEEM,Steem
STPT,STP
VR,Victoria VR
MUBI,Multibit
SPELL,Spell Token
VANRY,Vanar Chain
vUSDC,Venus USDC
SDEX,SmarDex
AGLD,Adventure Gold
SOV,Sovryn
CVC,Civic
ULTIMA,Ultima
REQ,Request
XYO,XYO
MTL,Metal DAO
PLANET,PLANET
SUN,Sun (New)
OMG,OMG Network
CTK,Shentu
UOS,Ultra
BNT,Bancor
MVL,MVL
ALICE,MyNeighborAlice
POL,Polygon Ecosystem Token
COQ,Coq Inu
POLIS,Star Atlas DAO
RAD,Radworks
BNX,BinaryX
ankrETH,Ankr Staked ETH
TRAC,trac (Ordinals)
OGN,Origin Protocol
GTC,Gitcoin
NKN,NKN
WILD,Wilder World
PLA,PlayDapp
ACA,Acala Token
ASM,Assemble Protocol
USDX,USDX [Kava]
PEPE2.0,Pepe 2.0
TON,Tokamak Network
UQC,Uquid Coin
MED,MediBloc
MRS,Metars Genesis
TOMI,tomiNet
ALEPH,Aleph.im
ACS,Access Protocol
RARE,SuperRare
WRX,WazirX
ARDR,Ardor
PHB,Phoenix
GEL,Gelato
MBOX,MOBOX
XPLA,XPLA
ELA,Elastos
PERP,Perpetual Protocol
DORA,Dora Factory
WMT,World Mobile Token
POLS,Polkastarter
PAID,PAID Network
NXRA,AllianceBlock Nexera
MKUSD,Prisma mkUSD
BFC,Bifrost
PHA,Phala Network
ELON,Dogelon Mars
LOOKS,LooksRare
NIZA,Niza Global
DIMO,DIMO
DEXT,DEXTools
HIGH,Highstreet
MBL,MovieBloc
BUSD,BUSD
DFI,DeFiChain
EWT,Energy Web Token
ARPA,ARPA
HIFI,Hifi Finance
MAP,MAP Protocol
WNXM,Wrapped NXM
HPO,Hippocrat
EVER,Everscale
ATLAS,Star Atlas
GODS,Gods Unchained
MWC,MimbleWimbleCoin
XVG,Verge
VRSC,VerusCoin
REN,Ren
STMX,StormX
AVINOC,AVINOC
BZR,Bazaars
BADGER,Badger DAO
FORT,Forta
QKC,QuarkChain
TKO,Toko Token
XPRT,Persistence
QI,BENQI
VIC,Viction
CHEQ,cheqd
ROOT,The Root Network
MBX,MARBLEX
RVF,RocketX exchange
VRA,Verasity
TRU,TrueFi
DAR,Mines of Dalarnia
NEON,Neon EVM
LON,Tokenlon Network Token
AEUR,Anchored Coins AEUR
DNX,Dynex
TLM,Alien Worlds
BANANA,Banana Gun
DATA,Streamr
VRTX,Vertex Protocol
5IRE,5ire
ASTRAFER,Astrafer
MOB,MobileCoin
DPI,DeFi Pulse Index
KIN,Kin
CBK,Cobak Token
SNEK,Snek
AERGO,Aergo
LYRA,Lyra
PNG,Pangolin
META,Metadium
AITECH,Solidus Ai Tech
OZO,Ozone Chain
SOLO,Sologenic
MDX,Mdex
ROUTE,Router Protocol
ZTX,ZTX
SIDUS,SIDUS
XCAD,XCAD Network
MYRO,Myro
SHRAP,Shrapnel
MEME,MEMETOON
ALT,Alitas
SWEAT,Sweat Economy
ALCX,Alchemix
ATA,Automata Network
FX,Function X
DAG,Constellation
DFC,DeFinder Capital
MPL,Maple
FORTH,Ampleforth Governance Token
SHIDO,Shido (New)
ORN,Orion
CLORE,Clore.ai
FUN,FUNToken
SLND,Solend
BETA,Beta Finance
VAI,VAIOT
DIONE,Dione Protocol
XCHNG,Chainge
COMBO,COMBO
vBUSD,Venus BUSD
MTRG,Meter Governance
STIK,Staika
DIA,DIA
LINA,Linear Finance
DEP,DEAPcoin
SHX,Stronghold Token
RACA,RACA
BSW,Biswap
STRK,Strike
BTCP,Bitcoin Palladium
CCD,Concordium
FRONT,Frontier
KYVE,KYVE Network
CRE,Carry
BRISE,Bitgert
IDEX,IDEX
COREUM,Coreum
COPI,Cornucopias
ABEL,Abelian
vXVS,Venus XVS
ABBC,ABBC Coin
LEVER,LeverFi
FLM,Flamingo
HTM,Hatom
GHST,Aavegotchi
VEGA,Vega Protocol
BITCOIN,HarryPotterObamaSonic10Inu (ERC-20)
SBD,Steem Dollars
MNW,Morpheus.Network
ALU,Altura
MPLX,Metaplex
EURC,EURC
SUSD,sUSD
FLIX,OmniFlix Network
IRIS,IRISnet
WRLD,NFT Worlds
FON,FONSmartChain
ERN,Ethernity
GFAL,Games for a Living
DEGO,Dego Finance
NEOM,Neom
MDT,Measurable Data Token
IOT,Helium IOT
CPOOL,Clearpool
SSX,SOMESING
COL,Clash of Lilliput
ETN,Electroneum
LADYS,Milady Meme Coin
HUNT,Hunt Town
CAGA,Crypto Asset Governance Alliance
UNIBOT,UniBot
FCT,FirmaChain
BTCD,Bitcoin Dominica
DVPN,Sentinel
MCT,Metacraft
CLV,CLV
WXT,Wirex Token
CERE,Cere Network
TT,ThunderCore
ZBC,Zebec
WEN,Wen
PRO,Propy
STC,SaitaChain Coin
MCB,MUX Protocol
LIT,Litentry
AOG,smARTOFGIVING
XCN,Onyxcoin
BEL,Bella Protocol
GRS,Groestlcoin
SDAO,SingularityDAO
PALM,PaLM AI
STT,Statter Network
RSV,Reserve
WAN,Wanchain
DEL,Decimal
LAT,PlatON
LMWR,LimeWire
CAH,Moon Tropica
CEL,Celsius
BOBA,Boba Network
WHITE,Whiteheart
HELLO,HELLO Labs
SMOG,Smog
MLN,Enzyme
NYC,NewYorkCoin
UNFI,Unifi Protocol DAO
LOKA,League of Kingdoms Arena
FIDA,Bonfida
TARA,Taraxa
KEX,KIRA
REEF,Reef
KMD,Komodo
AURA,Aura Finance
LTO,LTO Network
CEEK,CEEK VR
TOSHI,Toshi
STOS,Stratos
TPY,Thrupenny
10SET,Tenset
UTK,xMoney
VLX,Velas
KWD,KWD
ALT,ArchLoot
MOC,Moss Coin
AQT,Alpha Quark Token
WAGMIGAMES,WAGMI Games
CUSD,Celo Dollar
UPP,Sentinel Protocol
EURt,Tether EURt
ML,Mintlayer
TAVA,ALTAVA
GSWIFT,GameSwift
MIN,Minswap
AHT,AhaToken
VCNT,ViciCoin
KEY,SelfKey
DERC,DeRace
NPT,NEOPIN
FAR,Farcana
PSP,ParaSwap
WING,Wing Finance
GFI,Goldfinch
OPUL,Opulous
ZANO,Zano
QUACK,RichQUACK.com
QUICK,Quickswap [New]
BLOK,Bloktopia
VELO,Velo
AIDOGE,ArbDoge AI
RLY,Rally
TOKEN,TokenFi
H2O,H2O DAO
RARI,Rarible
RBX,RabbitX
BMX,BitMart Token
LOCUS,Locus Chain
SAMO,Samoyedcoin
DERO,Dero
AMPL,Ampleforth
AXEL,AXEL
ASD,ASD
GHX,GamerCoin
COS,Contentos
NCDT,Nuco.cloud
VXV,Vectorspace AI
OFN,Openfabric AI
EXRD,e-Radix
vUSDT,Venus USDT
RAMP,RAMP
CAPS,Ternoa
INSP,Inspect
TRADE,Polytrade
GTAI,GT Protocol
APX,APX
HAI,Hacken Token
ARRR,Pirate Chain
OMAX,Omax Coin
XNA,Neurai
KP3R,Keep3rV1
RAINI,Rainicorn
CHESS,Tranchess
WIFI,WiFi Map
BURGER,BurgerCities
KWENTA,Kwenta
PRQ,PARSIQ
NUM,Numbers Protocol
SPS,Splintershards
XSGD,XSGD
LEASH,Doge Killer
RKN,Rakon
KLV,Klever
UFO,UFO Gaming
QUICK,QuickSwap [Old]
ORC,Orbit Chain
FARM,Harvest Finance
NTX,NuNet
TONIC,Tectonic
AMB,AirDAO
REI,REI Network
FOX,Shapeshift FOX Token
AVA,AVA
BAR,FC Barcelona Fan Token
VGX,Voyager Token
PSG,Paris Saint-Germain Fan Token
CETUS,Cetus Protocol
DOCK,Dock
KATA,Katana Inu
XPR,XPR Network
CREAM,Cream Finance
DNT,district0x
VOXEL,Voxies
ADX,AdEx
SD,Stader
SANTOS,Santos FC Fan Token
ALPACA,Alpaca Finance
NULS,NULS
WNCG,Nine Chronicles
STARL,Starlink
CAST,Castello Coin
DPR,Deeper Network
PIVX,PIVX
BOND,BarnBridge
PTS,Petals
POOLX,Poolz Finance
VIDT,VIDT DAO
BIFI,Beefy
CRU,Crust Network
STRX,StrikeX
SILLY,Silly Dragon
KISHU,Kishu Inu
BOSON,Boson Protocol
YFII,DFI.Money
PROPC,Propchain
MLT,MILC Platform
SDN,Shiden Network
COVAL,Circuits of Value
HARD,Kava Lend
FIS,StaFi
VITE,VITE
CELL,Cellframe
OPTI,Optimus AI
DG,Decentral Games
DRGN,Dragonchain
KAI,KardiaChain
XWC,WhiteCoin
TPT,TokenPocket
ACX,Across Protocol
FIO,FIO Protocol
JEWEL,DeFi Kingdoms
USDK,USDK
ALPINE,Alpine F1 Team Fan Token
VOLT,Volt Inu
AKRO,Akropolis
BZZ,Swarm
VTS,Veritise
XCP,Counterparty
DBC,DeepBrain Chain
OG,OG Fan Token
LAZIO,S.S. Lazio Fan Token
FIRO,Firo
3ULL,PLAYA3ULL GAMES
MOON,r/CryptoCurrency Moons
OTK,Octokn
CONX,Connex
HOPR,HOPR
MMIT,MangoMan Intelligent
TSUKA,Dejitaru Tsuka
MONA,MonaCoin
CITY,Manchester City Fan Token
PORTO,FC Porto Fan Token
MXC,MXC
GZONE,GameZone
NOM,Onomy Protocol
EPS,Ellipsis
IMGNAI,Image Generation AI
MCADE,Metacade
CSIX,Carbon browser
ONIT,ONBUFF
CREO,Creo Engine
SIS,Symbiosis
DFG,Defigram
LING,Lingose
ADS,Adshares
SWAP,TrustSwap
YOOSHI,YooShi
NCT,PolySwarm
CET,CoinEx Token
PDT,ParagonsDAO
MATH,MATH
MAN,Matrix AI Network
QRDO,Qredo
IDIA,Impossible Finance Launchpad
TURBO,Turbo
STC,Student Coin
ZEON,ZEON
NODL,Nodle
GFT,Gifto
BNC,Bifrost
TROY,TROY
SSWP,Suiswap
PIT,Pitbull
SLIM,Solanium
DC,Dogechain
SQR,Magic Square
CENNZ,CENNZnet
MBS,UNKJD
TABOO,TABOO TOKEN
UNS,UNS TOKEN
KAR,Karura
UFT,UniLend
RMRK,RMRK
KSP,KLAYswap Protocol
KRL,Kryll
SPA,Sperax
DF,dForce
ARG,Argentine Football Association Fan Token
EPX,Ellipsis
GMEE,GAMEE
JOY,Joystream
AST,AirSwap
HAPI,HAPI Protocol
DCB,Decubate
BOTTO,Botto
FOR,ForTube
SLG,SLG.GAMES
CWEB,Coinweb
ZUSD,ZUSD
FRM,Ferrum Network
HEZ,Hermez Network
LA,LATOKEN
PROS,Prosper
DMTR,Dimitra
XRT,Robonomics.network
AURY,Aurory
BBF,Bubblefong
ICHI,ICHI
FSN,Fusion
CVTX,Carrieverse
SAITO,Saito
UX,UX Chain
FITFI,Step App
EL,ELYSIA
FUL,Fulcrom Finance
PNK,Kleros
SCLP,Scallop
HTR,Hathor
BEAM,Beam
QOM,Shiba Predator
DCK,DexCheck
HEGIC,Hegic
PKF,Red Kite
QRL,Quantum Resistant Ledger
HNS,Handshake
USDV,Verified USD
SN,SpaceN
SOUL,Phantasma
PMPY,Prometheum Prodigy
HERO,Metahero
BTCU,Bitcoin Unlimited
ZF,zkSwap Finance
KILT,KILT Protocol
JESUS,Jesus Coin
TOKE,Tokemak
SENATE,SENATE
TKP,TOKPIE
PIP,Pip
NIM,Nimiq
MASQ,MASQ
INV,Inverse Finance
DVF,rhino.fi
NEXA,Nexa
DIO,Decimated
RXD,Radiant
RENBTC,renBTC
RFOX,RFOX
BTM,Bytom
MIX,MixMarvel
SHPING,SHPING
GLQ,Graphlinq Chain
EFX,Effect Network
GMM,Gamium
SUKU,Suku
FUSE,Fuse
NetZ,MainnetZ
PNT,pNetwork
BCD,Bitcoin Diamond
YLD,Yield App
BIM,BIM
FRA,Fractal Network
TIME,Chrono.tech
NFTX,NFTX
GAL,Galatasaray Fan Token
TRVL,TRVL
AIPAD,AIPAD
PUSH,Push Protocol
AVT,Aventus
INTER,Inter Milan Fan Token
JUV,Juventus Fan Token
GET,GET Protocol
VIB,Viberate
DIME,Dimecoin
MNGO,Mango
GG,Reboot
FNCY,FNCY
GAINS,Gains
SOLVE,SOLVE
SWASH,Swash
WSM,Wall Street Memes
WOMBAT,Wombat Web 3 Gaming Platform
BIDR,BIDR
GENE,Genopets
SOCKS,Unisocks
AFC,Arsenal Fan Token
EPIK,EPIK Prime
CVP,PowerPool
UNCX,UNCX Network
VEXT,Veloce
STEP,Step Finance
GYEN,GYEN
NRG,Energi
REVV,REVV
ACM,AC Milan Fan Token
BSCPAD,BSCPAD
BST,Blocksquare Token
CON,CONUN
BWO,Battle World
UFI,PureFi Protocol
BROCK,Bitrock
SWTH,Carbon Protocol
OVR,OVR
OUSD,Origin Dollar
ARIA20,Arianee
DREP,Drep [new]
FEI,Fei USD
WAIT,Hourglass
GST,Green Satoshi Token (SOL)
UBT,Unibright
HDN,Hydranet
IZI,Izumi Finance
POLA,Polaris Share
DUST,Dust Protocol
OAX,OAX
COT,Cosplay Token
AGLA,Angola
NWC,Newscrypto
KAN,BitKan
SRM,Serum
OHO,OHO
WWY,WeWay
MULTI,Multichain
PZP,PlayZap
IDRT,Rupiah Token
SPURS,Tottenham Hotspur Fan Token
BAX,BABB
PKT,PKT
PONKE,Ponke
DOME,Everdome
BCUBE,B-cube.ai
LSS,Lossless
vLINK,Venus LINK
ROA,ROA CORE
XDEFI,XDEFI Wallet
AMO,AMO Coin
BTS,BitShares
SWFTC,SwftCoin
PRCY,PRivaCY Coin
UPUNK,Unicly CryptoPunks Collection
VAL,Validity
GARI,Gari Network
BRWL,Blockchain Brawlers
ATM,Atletico De Madrid Fan Token
BITCI,Bitcicoin
VINU,Vita Inu
ISK,ISKRA Token
EGG,Nestree
GQ,Blink Galaxy
HYDRA,Hydra
GRND,SuperWalk
MEV,MEVerse
CTX,Cryptex Finance
STFX,STFX
CRTS,Cratos
INDY,Indigo Protocol
BAD,Bad Idea AI
BAN,Banano
WIKEN,Project WITH
DLC,Diamond Launch
AE,Æternity
EML,EML Protocol
PIB,PIBBLE
SMT,Swarm Markets
RWA,Xend Finance
MDAO,MarsDAO
WNZ,Winnerz
